FirstName,LastName,Twitter Handle,St/Dis,Party
Alma,Adams,@RepAdams,NC12,D
Robert,Aderholt,@Robert_Aderholt,AL04,R
Pete,Aguilar,@RepPeteAguilar,CA31,D
Mark,Alford,@RepMarkAlford,MO04,R
Rick,Allen,@RepRickAllen,GA12,R
Colin,Allred,@RepColinAllred,TX32,D
Mark,Amodei,@MarkAmodeiNV2,NV02,R
Kelly,Armstrong,@RepArmstrongND,ND00,R
Jodey,Arrington,@RepArrington,TX19,R
Jake,Auchincloss,@RepAuchincloss,MA04,D
Brian,Babin,@RepBrianBabin,TX36,R
Don,Bacon,@RepDonBacon,NE02,R
James,Baird,@RepJimBaird,IN04,R
Troy,Balderson,@RepBalderson,OH12,R
Becca,Balint,@RepBeccaB,VT00,D
Jim,Banks,@RepJimBanks,IN03,R
Andy,Barr,@RepAndyBarr,KY06,R
Nanette,Barragán,@RepBarragan,CA44,D
Aaron,Bean,@RepAaronBean,FL04,R
Joyce,Beatty,@RepBeatty,OH03,D
Cliff,Bentz,@RepBentz,OR02,R
Ami,Bera,@RepBera,CA07,D
Jack,Bergman,@RepJackBergman,MI01,R
Donald,Beyer,@RepDonBeyer,VA08,D
Stephanie,Bice,@RepBice,OK05,R
Andy,Biggs,@RepAndyBiggsAZ,AZ05,R
Gus,Bilirakis,@RepGusBilirakis,FL12,R
Dan,Bishop,@RepDanBishop,NC09,R
Sanford,Bishop,@SanfordBishop,GA02,D
Earl,Blumenauer,@repblumenauer,OR03,D
Lisa,Blunt Rochester,@RepLBR,DE00,D
Lauren,Boebert,@RepBoebert,CO03,R
Suzanne,Bonamici,@RepBonamici,OR01,D
Mike,Bost,@RepBost,IL12,R
Jamaal,Bowman,@RepBowman,NY16,D
Brendan,Boyle,@CongBoyle,PA02,D
Josh,Brecheen,@RepBrecheen,OK02,R
Shontel,Brown,@RepShontelBrown,OH11,D
Julia,Brownley,@RepBrownley,CA26,D
Vern,Buchanan,@VernBuchanan,FL16,R
Ken,Buck,@RepKenBuck,CO04,R
Larry,Bucshon,@RepLarryBucshon,IN08,R
Nikki,Budzinski,@RepNikkiB,IL13,D
Tim,Burchett,@RepTimBurchett,TN02,R
Michael Burgess,@michaelcburgess,TX26,R
Eric Burlison,@RepEricBurlison,MO07,R
Cori Bush,@RepCori,MO01,D
Ken Calvert,@KenCalvert,CA42,R
Kat Cammack,@RepKatCammack,FL03,R
Salud Carbajal,@RepCarbajal,CA24,D
Tony Cárdenas,@RepCardenas,CA29,D
Mike Carey,@RepMikeCarey,OH15,R
Jerry Carl,@RepJerryCarl,AL01,R
André Carson,@RepAndreCarson,IN07,D
Buddy Carter,@RepBuddyCarter,GA01,R
John Carter,@JudgeCarter,TX31,R
Troy Carter,@RepTroyCarter,LA02,D
Matt Cartwright,@RepCartwright,PA08,D
Greg Casar,@RepCasar,TX35,D
Ed Case,@RepEdCase,HI01,D
Sean Casten,@RepCasten,IL06,D
Kathy Castor,@USRepKCastor,FL14,D
Joaquin Castro,@JoaquinCastrotx,TX20,D
Lori Chavez-DeRemer,@RepLCD,OR05,
Sheila Cherfilus-McCormick,@CongresswomanSC,FL20,D
Judy Chu,@RepJudyChu,CA27,D
David Cicilline,@RepCicilline,RI01,D
Juan Ciscomani,@RepCiscomani,AZ06,R
Katherine Clark,@RepKClark,MA05,D
Yvette Clarke,@RepYvetteClarke,NY09,D
Emanuel Cleaver,@repcleaver,MO05,D
Ben Cline,@RepBenCline,VA06,R
Michael Cloud,@RepCloudTX,TX27,R
James Clyburn,@WhipClyburn,SC06,D
Andrew Clyde,@Rep_Clyde,GA09,R
Steve Cohen,@RepCohen,TN09,D
Tom Cole,@TomColeOK04,OK04,R
Mike Collins,@RepMikeCollins,GA10,R
James Comer,@RepJamesComer,KY01,R
Gerald Connolly,@GerryConnolly,VA11,D
Lou Correa,@RepLouCorrea,CA46,D
Jim Costa,@RepJimCosta,CA16,D
Joe Courtney,@RepJoeCourtney,CT02,D
Angie Craig,@RepAngieCraig,MN02,D
Elijah Crane,@RepEliCrane,AZ02,D
Ric Crawford,@RepRickCrawford,AR01,R
Dan Crenshaw,@RepDanCrenshaw,TX02,R
Jasmine Crockett,@RepJasmine,TX30,D
Jason Crow,@RepJasonCrow,CO06,D
Henry Cuellar,@RepCuellar,TX28,D
John Curtis,@RepJohnCurtis,UT03,R
Sharice Davids,@RepDavids,KS03,D
Warren Davidson,@WarrenDavidson,OH08,R
Danny Davis,@RepDannyDavis,IL07,D
Rodney Davis,@RodneyDavis,IL13,R
Monica De La Cruz,@RepMonicaDLC,TX15,R
Madeleine Dean,@RepDean,PA04,D
Diana DeGette,@RepDianaDeGette,CO01,D
Rosa DeLauro,@rosadelauro,CT03,D
Suzan DelBene,@RepDelBene,WA01,D
Christopher Deluzio,@RepDeluzio,PA17,D
Mark DeSaulnier,@RepDeSaulnier,CA11,D
Scott DesJarlais,@DesJarlaisTN04,TN04,R
Anthony D'Esposito,@RepDesposito,NY04,R
Mario Diaz-Balart,@MarioDB,FL25,R
Debbie Dingell,@RepDebDingell,MI12,D
Lloyd Doggett,@RepLloydDoggett,TX35,D
Byron Donalds,@RepDonaldsPress,FL19,R
John Duarte,,CA13,R
Jeff Duncan,@RepJeffDuncan,SC03,R
Neal Dunn,@DrNealDunnFL2,FL02,R
Chuck Edwards,@RepEdwards,NC11,R
Jake Ellzey,@RepEllzey,TX06,R
Tom Emmer,@RepTomEmmer,MN06,R
Veronica Escobar,@RepEscobar,TX16,D
Anna Eshoo,@RepAnnaEshoo,CA16,D
Adriano Espaillat,@RepEspaillat,NY13,D
Ron Estes,@RepRonEstes,KS04,R
Dwight Evans,@RepDwightEvans,PA03,D
Mike Ezell,@RepEzell,MS04,R
Pat Fallon,@RepPatFallon,TX04,R
Randy Feenstra,@RepFeenstra,IA04,R
A. Ferguson,@RepDrewFerguson,GA03,R
Brad Finstad,@repfinstad,MN01,R
Neal Fischbach,@RepFischbach,MN07,R
Scott Fitzgerald,@RepFitzgerald,WI05,R
Brian Fitzpatrick,@RepBrianFitz,PA01,R
Charles Fleischmann,@RepChuck,TN03,R
Lizzie Fletcher,@RepFletcher,TX07,D
Mike Flood,@USRepMikeFlood,NE01,R
Bill Foster,@RepBillFoster,IL11,D
Valerie Foushee,@ValerieFoushee,NC04,D
Virginia Foxx,@virginiafoxx,NC05,R
Lois Frankel,@RepLoisFrankel,FL22,D
C.,Franklin,@RepFranklin,FL18,R
Maxwell,Frost,@RepMaxwellFrost,FL10,D
Russell,Fry,@RepRussellFry,SC07,R
Russ,Fulcher,@RepRussFulcher,ID01,R
Matt,Gaetz,@RepMattGaetz,FL01,R
Mike,Gallagher,@RepGallagher,WI08,R
Ruben,Gallego,@RepRubenGallego,AZ03,D
John,Garamendi,@RepGaramendi,CA08,D
Andrew,Garbarino,@RepGarbarino,NY02,R
Mike,Garcia,@RepMikeGarcia,CA27,R
Robert,Garcia,@RepRobertGarcia,CA42,D
Sylvia,Garcia,@RepSylviaGarcia,TX29,D
Jesús,García,@RepChuyGarcia,IL04,D
Carlos,Gimenez,@RepCarlos,FL28,R
Jared,Golden,@RepGolden,ME02,D
Daniel,Goldman,@RepDanGoldman,NY10,D
Jimmy,Gomez,@RepJimmyGomez,CA34,D
Tony,Gonzales,@RepTonyGonzales,TX23,R
Vicente,Gonzalez,@RepGonzalez,TX34,D
Jenniffer,González-Colón,@RepJenniffer,PR00,R
Bob,Good,@RepBobGood,VA05,R
Lance,Gooden,,TX05,R
Paul,Gosar,@RepGosar,AZ09,R
Josh,Gottheimer,@RepJoshG,NJ05,D
Kay,Granger,@RepKayGranger,TX12,R
Garret,Graves,@RepGarretGraves,LA06,R
Sam,Graves,@RepSamGraves,MO06,R
Mark,Green,@RepMarkGreen,TN07,R
Al,Green,@RepAlGreen,TX09,D
Marjorie,Greene,@RepMTG,GA14,R
Morgan,Griffith,@RepMGriffith,VA09,R
Raúl,Grijalva,@RepRaulGrijalva,AZ07,D
Glenn,Grothman,@RepGrothman,WI06,R
Michael,Guest,@RepMichaelGuest,MS03,R
Brett,Guthrie,@RepGuthrie,KY02,R
Harriet,Hageman,@RepHageman,WY00,R
Josh,Harder,@RepJoshHarder,CA09,D
Andy,Harris,@RepAndyHarrisMD,MD01,R
Diana,Harshbarger,@RepHarshbarger,TN01,R
Jahana,Hayes,@RepJahanaHayes,CT05,D
Kevin,Hern,@repkevinhern,OK01,R
Clay,Higgins,@RepClayHiggins,LA03,R
Brian,Higgins,@RepBrianHiggins,NY26,D
French,Hill,@RepFrenchHill,AR02,R
James,Himes,,CT04, D
Ashley Hinson, @RepAshleyHinson, IA02, R
Steven Horsford, @RepHorsford, NV04, D
Erin Houchin, @RepHouchin, IN09, R
Chrissy Houlahan, @RepHoulahan, PA06, D
Steny Hoyer, @RepStenyHoyer, MD05, D
Val Hoyle, @repvalhoyle, OR04, D
Richard Hudson, @RepRichHudson, NC09, R
Jared Huffman, @RepHuffman, CA02, D
Bill Huizenga, @RepHuizenga, MI04, R
Wesley Hunt, @RepWesleyHunt, TX38, R
Darrell Issa, @repdarrellissa, CA48, R
Glenn Ivey, @RepGlennIvey, MD04, D
Jonathan Jackson, @rep_jackson, IL01, D
Jeff Jackson, @RepJeffJackson, NC14, D
Ronny Jackson, @RepRonnyJackson, TX13, R
Sheila Jackson Lee, @JacksonLeeTX18, TX18, D
Sara Jacobs, @RepSaraJacobs, CA51, D
John James,, MI10, R
Pramila Jayapal, @RepJayapal, WA07, D
Hakeem Jeffries, @RepJeffries, NY08, D
Hank Johnson, @RepHankJohnson, GA04, D
Mike Johnson, @RepMikeJohnson, LA04, R
Bill Johnson, @RepBillJohnson, OH06, R
Dusty Johnson, @RepDustyJohnson, SD00, R
Jim Jordan, @Jim_Jordan, OH04, R
David Joyce, @RepDaveJoyce, OH14, R
John Joyce, @RepJohnJoyce, PA13, R
Sydney Kamlager-Dove, @RepKamlagerDove, CA37, D
Marcy Kaptur, @RepMarcyKaptur, OH09, D
Thomas Kean, @CongressmanKean, NJ07, R
William Keating, @USRepKeating, MA09, D
Robin Kelly, @RepRobinKelly, IL02, D
Trent Kelly, @RepTrentKelly, MS01, R
Mike Kelly, @MikeKellyPA, PA16, R
Ro Khanna, @RepRoKhanna, CA17, D
Jennifer Kiggans, @RepKiggans, VA02, R
Daniel Kildee, @RepDanKildee, MI08, D
Kevin Kiley, @RepKiley, CA03, R
Derek Kilmer, @RepDerekKilmer, WA06, D
Young Kim, @RepYoungKim, CA40, R
Andy Kim, @RepAndyKimNJ, NJ03, D
Raja Krishnamoorthi, @CongressmanRaja, IL08, D
Ann Kuster, @RepAnnieKuster, NH02, D
David Kustoff, @RepDavidKustoff, TN08, R
Darin LaHood, @RepLaHood, IL16, R
Nick,LaLota,@RepLaLota,NY01,R
Doug,LaMalfa,@RepLaMalfa,CA01,R
Doug,Lamborn,@RepDLamborn,CO05,R
Greg,Landsman,@RepGregLandsman,OH01,D
Nicholas,Langworthy,@RepLangworthy,NY23,R
Rick,Larsen,@RepRickLarsen,WA02,D
John,Larson,@RepJohnLarson,CT01,D
Robert,Latta,@boblatta,OH05,R
Jake,LaTurner,@RepLaTurner,KS02,R
Michael,Lawler,@RepMikeLawler,NY17,R
Barbara,Lee,@RepBarbaraLee,CA12,D
Laurel,Lee,@RepLaurelLee,FL15,R
Susie,Lee,@RepSusieLee,NV03,D
Summer,Lee,@RepSummerLee,PA12,D
Teresa,Leger Fernandez,@RepTeresaLF,NM03,D
Debbie,Lesko,@RepDLesko,AZ08,R
Julia,Letlow,@repjulialetlow,LA05,R
Mike,Levin,@RepMikeLevin,CA49,D
Ted,Lieu,@RepTedLieu,CA36,D
Zoe,Lofgren,@RepZoeLofgren,CA18,D
Barry,Loudermilk,@RepLoudermilk,GA11,R
Frank,Lucas,@RepFrankLucas,OK03,R
Blaine,Luetkemeyer,@RepBlaine,MO03,R
Anna Paulina,Luna,@RepLuna,FL13,R
Morgan,Luttrell,@RepLuttrell,TX08,R
Stephen,Lynch,@RepStephenLynch,MA08,D
Nancy,Mace,@RepNancyMace,SC01,R
Seth,Magaziner,@Rep_Magaziner,RI02,D
Nicole,Malliotakis,@RepMalliotakis,NY11,R
Tracey,Mann,@RepMann,KS01,R
Kathy,Manning,@RepKManning,NC06,D
Thomas,Massie,@RepThomasMassie,KY04,R
Brian,Mast,@RepBrianMast,FL21,R
Doris,Matsui,@DorisMatsui,CA07,D
Lucy,McBath,@RepLucyMcBath,GA07,D
Kevin McCarthy,@SpeakerMcCarthy,CA20,R
Michael McCaul,@RepMcCaul,TX10,R
Lisa McClain,@RepLisaMcClain,MI09,R
Tom McClintock,@RepMcClintock,CA05,R
Betty McCollum,@BettyMcCollum04,MN04,D
Richard McCormick,@RepMcCormick,GA06,R
Morgan McGarvey,@RepMcGarvey,KY03,D
James McGovern,@RepMcGovern,MA02,D
Patrick McHenry,@PatrickMcHenry,NC10,R
Gregory Meeks,@RepGregoryMeeks,NY05,D
Robert Menendez,@RepMenendez,NJ08,D
Grace Meng,@RepGraceMeng,NY06,D
Daniel Meuser,@RepMeuser,PA09,R
Kweisi Mfume,@RepKweisiMfume,MD07,D
Mary Miller,@RepMaryMiller,IL15,R
Max Miller,OH07,R
Carol Miller,@RepCarolMiller,WV01,R
Mariannette Miller-Meeks,@RepMMM,IA01,R
Cory Mills,@RepMillsPress,FL07,R
Marcus Molinaro,@RepMolinaroNY19,NY19,R
John Moolenaar,@RepMoolenaar,MI02,R
Alexander Mooney,@RepAlexMooney,WV02,R
Barry Moore,@RepBarryMoore,AL02,R
Blake Moore,@RepBlakeMoore,UT01,R
Gwen Moore,@RepGwenMoore,WI04,D
Nathaniel Moran,@RepNateMoran,TX01,R
Joseph Morelle,@RepJoeMorelle,NY25,D
Jared Moskowitz,@RepMoskowitz,FL23,D
Seth Moulton,@teammoulton,MA06,D
James Moylan,@JMoylanforGuam,GU00,R
Frank Mrvan,@RepMrvan,IN01,D
Kevin Mullin,@RepMullin,CA15,D
Gregory Murphy,@RepGregMurphy,NC03,R
Jerrold Nadler,@RepJerryNadler,NY12,D
Grace Napolitano,@gracenapolitano,CA31,D
Richard Neal,@RepRichardNeal,MA01,D
Joe Neguse,@RepJoeNeguse,CO02,D
Troy Nehls,@RepTroyNehls,TX22,R
Dan Newhouse,@RepNewhouse,WA04,R
Wiley Nickel,@RepWileyNickel,NC13,D
Donald Norcross,@DonaldNorcross,NJ01,D
Ralph Norman,@RepRalphNorman,SC05,R
Eleanor Norton,@EleanorNorton,DC00,D
Zachary Nunn,@ZachNunn,IA03,R
Jay Obernolte,@JayObernolte,CA23,R
Alexandria Ocasio-Cortez,@RepAOC,NY14,D
Andrew Ogles,@RepOgles,TN05,R
Ilhan Omar,@Ilhan,MN05,D
Burgess Owens,@RepBurgessOwens,UT04,R
Frank Pallone,@FrankPallone,NJ06,D
Gary Palmer,@USRepGaryPalmer,AL06,R
Jimmy Panetta,@RepJimmyPanetta,CA19,D
Chris Pappas,@RepChrisPappas,NH01,D
Bill Pascrell,@BillPascrell,NJ09,D
Donald Payne,@RepDonaldPayne,NJ10,D
Nancy Pelosi,@SpeakerPelosi,CA11,D
Mary Peltola,@Rep_Peltola,AK00,D
Greg Pence,@RepGregPence,IN06,R
Marie Gluesenkamp Perez,@RepMGP,WA03,D
Scott Perry,@RepScottPerry,PA10,R
Scott Peters,@RepScottPeters,CA50,D
Brittany Pettersen,@RepPettersen,CO07,D
August Pfluger,@RepPfluger,TX11,R
Dean Phillips,@RepDeanPhillips,MN03,D
Chellie Pingree,@chelliepingree,ME01,D
Stacey Plaskett,@StaceyPlaskett,VI00,D
Mark Pocan,@repmarkpocan,WI02,D
Katie Porter,@RepKatiePorter,CA47,D
Bill Posey,@congbillposey,FL08,R
Ayanna Pressley,@RepPressley,MA07,D
Mike Quigley,@RepMikeQuigley,IL05,D
Aumua Amata Radewagen,@RepAmata,AS00,R
Delia Ramirez,@repdeliaramirez,IL03,D
Jamie Raskin,@RepRaskin,MD08,D
Guy Reschenthaler,@GReschenthaler,PA14,R
Cathy Rodgers,@cathymcmorris,WA05,R
Mike Rogers,@RepMikeRogersAL,AL03,R
Harold Rogers,@RepHalRogers,KY05,R
John Rose,@RepJohnRose,TN06,R
Matthew Rosendale,@RepRosendale,MT02,R
Deborah Ross,@RepDeborahRoss,NC02,D
David Rouzer,@RepDavidRouzer,NC07,R
Chip Roy,@RepChipRoy,TX21,R
Raul Ruiz,@RepRaulRuizMD,CA25,D
C. Ruppersberger,@Call_Me_Dutch,MD02,D
John Rutherford,@RepRutherfordFL,FL05,R
Patrick Ryan,@RepPatRyanNY,NY18,D
Gregorio Sablan,@Kilili_Sablan,MP00,D
Maria Salazar,@RepMariaSalazar,FL27,R
Andrea Salinas,@RepSalinas,OR06,D
Michael San Nicolas,@GuamCongressman,GU00,D
Linda Sánchez,@RepLindaSanchez,CA38,D
George Santos,@RepSantosNY03,NY03,R
John Sarbanes,@RepSarbanes,MD03,D
Steve Scalise,@SteveScalise,LA01,R
Mary Scanlon,@RepMGS,PA05,D
Janice Schakowsky,@RepSchakowsky,IL09,D
Adam Schiff,@RepAdamSchiff,CA30,D
Bradley Schneider,@RepSchneider,IL10,D
Hillary Scholten,@RepScholten,MI03,D
Kim Schrier,@RepKimSchrier,WA08,D
David Schweikert,@RepDavid,AZ01,R
Austin Scott,@AustinScottGA08,GA08,R
David Scott,@repdavidscott,GA13,D
Robert Scott,@BobbyScott,VA03,D
Keith Self,,TX03,R
Pete Sessions,@PeteSessions,TX17,R
Terri Sewell,@RepTerriSewell,AL07,D
Brad Sherman,@BradSherman,CA32,D
Mikie Sherrill,@RepSherrill,NJ11,D
Michael Simpson,@CongMikeSimpson,ID02,R
Elissa Slotkin,@RepSlotkin,MI07,D
Jason Smith,@RepJasonSmith,MO08,R
Adrian Smith,@RepAdrianSmith,NE03,R
Christopher Smith,,NJ04,R
Adam Smith,@RepAdamSmith,WA09,D
Lloyd Smucker,@RepSmucker,PA11,R
Eric Sorensen,@RepEricSorensen,IL17,D
Darren Soto,@RepDarrenSoto,FL09,D
Abigail Spanberger,@RepSpanberger,VA07,D
Victoria Spartz,@RepSpartz,IN05,R
Melanie Stansbury,@Rep_Stansbury,NM01,D
Greg Stanton,@RepGregStanton,AZ04,D
Pete Stauber,@RepPeteStauber,MN08,R
Donald Steel,@RepSteel,CA45,R
Elise Stefanik,@RepStefanik,NY21,R
Bryan Steil,@RepBryanSteil,WI01,R
W. Steube,@RepGregSteube,FL17,R
Haley Stevens,@RepHaleyStevens,MI11,D
Chris Stewart,@RepChrisStewart,UT02,R
Marilyn Strickland,@RepStricklandWA,WA10,D
Dale Strong,@RepDaleStrong,AL05,R
Eric Swalwell,@RepSwalwell,CA14,D
Emilia Sykes,@RepEmiliaSykes,OH13,D
Mark Takano,@RepMarkTakano,CA39,D
Claudia Tenney,@RepTenney,NY24,R
Shri Thanedar,@RepShriThanedar,MI13,D
Mike Thompson,@RepThompson,CA04,D
Bennie Thompson,@BennieGThompson,MS02,D
Glenn Thompson,@CongressmanGT,PA15,R
Thomas Tiffany,@RepTiffany,WI07,R
William Timmons,@RepTimmons,SC04,R
Dina Titus,@repdinatitus,NV01,D
Rashida Tlaib,@RepRashida,MI12,D
Jill Tokuda,@RepJillTokuda,HI02,D
Paul Tonko,@RepPaulTonko,NY20,D
Norma Torres,@NormaJTorres,CA35,D
Ritchie Torres,@RepRitchie,NY15,D
Lori Trahan,@RepLoriTrahan,MA03,D
David Trone,@RepDavidTrone,MD06,D
Michael Turner,@RepMikeTurner,OH10,R
Lauren Underwood,@RepUnderwood,IL14,D
David Valadao,@RepDavidValadao,CA22,R
Jefferson Van Drew,@Congressman_JVD,NJ02,R
Beth Van Duyne,@RepBethVanDuyne,TX24,R
Derrick Van Orden,@RepVanOrden,WI03,R
Juan Vargas,@RepJuanVargas,CA52,D
Gabe Vasquez,,NM02,D
Marc Veasey,@RepVeasey,TX33,D
N Lydia Velázquez,@N LydiaVelazquez,NY07,D
Ann Wagner,@RepAnnWagner,MO02,R
Tim Walberg,@RepWalberg,MI05,R
Michael Waltz,@RepWaltzPress,FL06,R
Debbie Wasserman Schultz,@RepDWStweets,FL25,D
Maxine Waters,@RepMaxineWaters,CA43,D
Bonnie Watson Coleman,@RepBonnie,NJ12,D
Randy Weber,@TXRandy14,TX14,R
Daniel Webster,@RepWebster,FL11,R
Brad Wenstrup,@RepBradWenstrup,OH02,R
Bruce Westerman,@RepWesterman,AR04,R
Jennifer,Wexton,@RepWexton,VA10,D
Susan,Wild,@RepSusanWild,PA07,D
Nikema,Williams,@RepNikema,GA05,D
Brandon,Williams,@RepWilliams,NY22,R
Roger,Williams,@RepRWilliams,TX25,R
Frederica,Wilson,@RepWilson,FL24,D
Joe,Wilson,@RepJoeWilson,SC02,R
Robert,Wittman,@RobWittman,VA01,R
Steve,Womack,@rep_stevewomack,AR03,R
Rudy,Yakym,@RepRudyYakym,IN02,R
Ryan,Zinke,@RepRyanZinke,MT01,R